therapist_consistency_id,therapist_id,therapist_name,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,therapist_role,employment_type,active_flag,hours_available,hours_sold,utilization_percent,revenue_eur,yield_eur_per_sold_hour,revpath_proxy_eur_per_available_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_impact_rate_percent,complaint_rate_percent,service_recovery_rate_percent,schedule_adherence_percent,attendance_reliability_percent,performance_level_score,utilization_stability_score,yield_stability_score,guest_quality_stability_score,commercial_consistency_score,attendance_consistency_score,variance_penalty_score,market_fairness_modifier_score,therapist_consistency_score_0_100,therapist_consistency_band,consistency_primary_gap,consistency_secondary_gap,consistency_variance_flag,coach_priority_flag,burnout_risk_flag,score_confidence_level,observed_weeks_count,observed_months_count,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
TCS_00001,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,35.42,25.35,71.57,1690.59,66.69,47.73,70.02,52.26,28.87,12.06,6.31,4.27,38.43,87.79,91.88,60.56049999999999,99.98,92.78999999999999,91.46000000000001,40.565,89.83500000000001,3.7460000000000018,0,76.04,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00002,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,therapist,full_time,yes,38.35,27.17,70.85,1569.07,57.75,40.91,60.64,50.04,23.78,12.17,3.84,1.7,15.3,80.41,85.76,56.08299999999999,99.3,98.27000000000001,96.6,36.91,83.08500000000001,1.3119999999999972,0,74.82,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00003,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,therapist,full_time,yes,39.74,27.87,70.13,1725.99,61.93,43.43,65.03,57.45,24.19,13.49,4.53,2.82,25.38,81.69,92.33,58.467,98.58,97.55,94.36,40.82,87.00999999999999,2.112000000000002,0,76.03,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00004,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-26,2026-02-01,12,therapist,full_time,yes,34.51,24.88,72.1,1560.22,62.71,45.21,65.85,52.4,20.82,11.49,5.9,2.88,25.92,80.93,96.93,58.16649999999999,99.45,96.77,94.24,36.61,88.93,2.0880000000000005,0,75.8,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00005,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,therapist,full_time,yes,33.4,24.5,73.35,1557.22,63.56,46.62,66.74,57.74,21.87,12.14,2.61,2.41,21.69,81.62,93.0,59.86,98.2,95.91999999999999,95.18,39.805,87.31,2.834000000000004,0,76.1,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00006,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,therapist,full_time,yes,33.44,24.23,72.46,1489.9,61.49,44.55,64.56,57.95,28.77,15.92,3.53,3.37,30.33,88.43,89.54,59.890499999999996,99.09,97.99,93.26,43.36,88.98500000000001,1.8420000000000005,0,77.17,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00007,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,therapist,full_time,yes,33.91,24.2,71.37,1589.7,65.69,46.88,68.97,49.2,21.34,13.94,4.07,3.98,35.82,91.74,94.0,58.55200000000001,99.82000000000001,93.78999999999999,92.04,35.27,92.87,3.3520000000000003,0,75.53,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00008,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,therapist,full_time,yes,33.08,24.45,73.91,1477.76,60.44,44.67,63.46,49.7,19.23,13.08,5.8,1.91,17.19,88.56,86.8,57.361999999999995,97.64,99.03999999999999,96.18,34.465,87.68,1.710000000000003,0,75.45,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00009,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,therapist,full_time,yes,33.08,23.4,70.74,1300.34,55.57,39.31,58.35,57.11,28.22,18.43,4.44,2.33,20.97,88.37,89.61,57.007999999999996,99.19,96.09,95.34,42.665,88.99000000000001,2.3539999999999996,0,75.92,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00010,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-12,2026-01-18,12,therapist,full_time,yes,38.91,27.26,70.06,1473.4,54.05,37.87,56.75,49.31,20.4,13.35,5.69,3.43,30.87,85.61,88.83,53.894999999999996,98.51,94.57,93.14,34.855000000000004,87.22,3.4540000000000006,0,73.02,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00011,TH_002,Therapist B,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-19,2026-01-25,12,therapist,full_time,yes,36.22,25.12,69.35,1540.61,61.33,42.53,64.4,55.77,30.06,17.05,3.58,4.06,36.54,86.6,87.01,58.6125,97.8,98.15,91.88,42.915,86.805,2.431999999999999,0,75.92,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,0,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
