therapist_consistency_id,therapist_id,therapist_name,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,therapist_role,employment_type,active_flag,hours_available,hours_sold,utilization_percent,revenue_eur,yield_eur_per_sold_hour,revpath_proxy_eur_per_available_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_impact_rate_percent,complaint_rate_percent,service_recovery_rate_percent,schedule_adherence_percent,attendance_reliability_percent,performance_level_score,utilization_stability_score,yield_stability_score,guest_quality_stability_score,commercial_consistency_score,attendance_consistency_score,variance_penalty_score,market_fairness_modifier_score,therapist_consistency_score_0_100,therapist_consistency_band,consistency_primary_gap,consistency_secondary_gap,consistency_variance_flag,coach_priority_flag,burnout_risk_flag,score_confidence_level,observed_weeks_count,observed_months_count,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
TCS_00001,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,12,therapist,full_time,yes,148.08,101.25,68.38,6077.03,60.02,41.04,63.02,39.95,23.24,8.96,3.49,3.97,31.57,86.78,91.12,54.418499999999995,89.46000000000001,99.5,92.06,31.595,88.95,5.209999999999997,0,72.06,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00002,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,12,therapist,full_time,yes,147.02,79.95,54.38,5020.86,62.8,34.15,65.94,52.55,21.27,10.46,4.48,2.22,18.56,88.63,86.23,52.086,96.53999999999999,97.72,95.56,36.91,87.43,2.7400000000000038,0,73.18,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00003,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,12,therapist,full_time,yes,161.58,108.72,67.29,6929.81,63.74,42.89,66.93,55.78,24.56,17.03,2.22,2.75,21.59,87.3,93.71,57.9115,90.55,96.78,94.5,40.17,90.505,5.618,0,74.29,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00004,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,12,therapist,full_time,yes,146.17,84.37,57.72,5080.76,60.22,34.76,63.23,44.86,21.69,16.55,4.97,2.25,18.42,93.36,95.49,51.2615,99.88,99.69999999999999,95.5,33.275,94.425,0.6180000000000063,0,74.8,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00005,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,12,therapist,full_time,yes,139.38,95.82,68.75,5631.34,58.77,40.4,61.71,52.82,19.92,17.49,3.68,1.9,16.49,93.07,87.67,55.543000000000006,89.09,98.25,96.2,36.370000000000005,90.37,5.443999999999999,0,73.26,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00006,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,12,therapist,full_time,yes,161.95,99.3,61.32,6479.32,65.25,40.01,68.51,53.72,25.35,12.36,3.55,3.88,34.88,83.07,96.53,56.16,96.52000000000001,95.27000000000001,92.24,39.535,89.8,4.059999999999992,0,74.26,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00007,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,12,therapist,full_time,yes,145.11,81.86,56.41,5373.29,65.64,37.03,68.92,39.33,25.97,11.55,3.68,2.06,19.4,93.31,85.18,52.5125,98.57,94.88,95.88,32.65,89.245,3.0320000000000045,0,73.03,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00008,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-08-01,2017-08-31,12,therapist,full_time,yes,154.78,101.52,65.59,6489.16,63.92,41.93,67.12,39.21,17.64,12.91,3.47,1.04,9.21,86.57,94.16,53.856,92.25,96.6,97.92,28.425,90.365,4.668000000000003,0,72.43,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00009,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-09-01,2017-09-30,12,therapist,full_time,yes,138.0,73.33,53.14,4496.6,61.32,32.58,64.39,54.82,16.88,13.55,4.71,3.73,31.83,83.67,90.66,50.815999999999995,95.3,99.2,92.54,35.85,87.16499999999999,2.946,0,72.29,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00010,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-10-01,2017-10-31,12,therapist,full_time,yes,141.78,89.75,63.3,5626.43,62.69,39.68,65.82,38.54,16.18,9.57,2.55,2.12,19.63,84.15,89.9,52.30449999999999,94.54,97.83000000000001,95.76,27.36,87.025,3.4759999999999924,0,71.83,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
TCS_00011,TH_001,Therapist A,MLT_OUTLET_001,Valletta,Malta,monthly,2017-11-01,2017-11-30,12,therapist,full_time,yes,152.69,103.48,67.77,6436.46,62.2,42.15,65.31,39.8,21.02,16.22,2.78,2.17,17.58,81.46,88.28,54.61249999999999,90.07000000000001,98.32,95.66,30.409999999999997,84.87,5.078,0,71.69,stable,performance_stability,commercial_repeatability,variance_normal,standard_monitoring,burnout_normal,low,0,1,scaffold,partial,scaffold_with_policy_reference,pending_qa,initial scaffold build; consistency logic provisional,scaffold_generated
